hostname;ipl0;ipl237;;
ra31941.cba.brad_Loopback0;172.27.65.52;Serial0.1;172.25.192.218;age;
ra31096.cba.brad_Loopback0;172.27.57.20;Serial0.1;172.25.246.218;age;
ra32107.bhe.brad_Loopback0;172.27.66.20;Serial0/0/0.1;172.25.143.114;age;
ra31561.bru.brad_Loopback0;172.27.39.100;Serial0/0/0.1;172.25.51.82;age;
ra32449.soc.brad_Loopback0;172.27.46.180;Serial0/0.1;172.25.119.122;age;
ra038319.jpa.brad_Loopback0;172.17.90.156;Serial0/0/0.1;172.25.195.170;otr;
ra31892.dvl.brad_Loopback0;172.27.64.196;Serial0/0.1;172.25.86.122;age;
ra31685.bhe.brad_Loopback0;172.27.62.180;Serial0/0.1;172.24.199.242;age;
ra31930ag.csl.brad_Loopback0;172.27.46.4;Serial0/0.1;172.25.254.178;age;
ra31930ag.csl.brad_Loopback0;172.27.46.4;Serial0/0.2;172.25.254.145;age;
ra032557.mcl.brad_Loopback0;172.27.69.52;Serial0.1;172.25.33.178;age;
ra050927.scec.brad_Loopback0;172.17.58.92;Serial0/0/0.1;172.25.31.34;age;
ra035889.bru.brad_Loopback0;172.17.49.60;Serial0/0/0.1;172.25.149.242;otr;
ra030251.bsa.brad_Loopback0;172.27.50.4;Serial0.1;172.24.147.162;age;
ra31691.dvl.brad_Loopback0;172.27.62.196;Serial1.1;172.25.240.130;age;
ra035211.srr.brad_Loopback0;172.17.4.252;Serial0/0/0.1;172.25.108.130;otr;
ra035211.srr.brad_Loopback0;172.17.4.252;Serial0/0/1.1;172.25.108.130;otr;
ra035552.tte.brad_Loopback0;172.17.24.76;Serial0/0/0.1;172.25.118.210;otr;
ra30937.fla.brad_Loopback0;172.27.75.52;Serial1.1;172.25.242.210;age;
ra30357.fns.brad_Loopback0;172.27.87.132;Serial1.1;172.25.138.58;age;
ra31448.pvo.brad_Loopback0;172.27.77.84;Serial1.1;172.24.147.130;age;
ra39552bd.sat1.brad_Loopback0;172.17.2.28;ATM3/0.502;172.25.175.142;otr;
ra39552bd.sat1.brad_Loopback0;172.17.2.28;ATM3/0.503;172.25.175.138;otr;
ra31249.cba.brad_Loopback0;172.27.57.180;Serial0/0/0.1;172.25.246.210;age;
ra30007.bru.brad_Loopback0;172.27.30.36;Serial0/3.1;172.25.95.202;age;
ra030995.jpa.brad_Loopback0;172.27.75.212;Serial0/0.1;172.26.241.77;age;
ra030635.bsa.brad_Loopback0;172.27.53.68;Serial0/0.1;172.24.37.26;age;
ra32836.rpo.brad_Loopback0;172.27.47.212;Serial1.1;172.25.143.186;age;
ra032136.ula.brad_Loopback0;172.27.44.100;Serial1.1;172.25.192.114;age;
ra032419.rsd.brad_Loopback0;172.27.66.212;Serial0.1;172.25.57.42;age;
ra39072bd.sat1.brad_Loopback0;172.17.0.92;Serial0.1;172.25.62.10;otr;
ra30467.bhe.brad_Loopback0;172.27.51.68;Serial0/1.1;172.25.179.178;age;
ra30467.bhe.brad_Loopback0;172.27.51.68;Serial0/0.1;172.25.179.178;age;
ra032998.vta.brad_Loopback0;172.27.69.244;Serial0/0/0.1;172.25.213.58;age;
ra039708.jpa.brad_Loopback0;172.27.124.220;Serial0/0/0.1;172.26.128.89;otr;
ra31604.pae.brad_Loopback0;172.27.92.220;Serial1.1;172.25.185.138;age;
ra035868bd.sat1.brad_Loopback0;172.17.47.124;Serial0/0/0.1;172.26.138.145;otr;
ra037701.bhe.brad_Loopback0;172.27.220.156;Serial0/0/0.1;172.26.227.9;otr;
ra035819.bru.brad_Loopback0;172.17.44.44;Serial0/0/0.1;172.25.134.210;otr;
ra30923.pga.brad_Loopback0;172.27.90.20;Serial1.1;172.25.51.66;age;
ra30721.blm.brad_Loopback0;172.27.73.116;Serial0.1;172.25.224.98;age;
ra33274.pae.brad_Loopback0;172.27.97.244;Serial0.1;172.25.143.154;age;
ra035248.srr.brad_Loopback0;172.17.58.236;Serial0/0/0.1;172.25.181.242;otr;
ra30424.pga.brad_Loopback0;172.27.88.244;Serial0/0.1;172.25.144.194;age;
ra30690.sdr.brad_Loopback0;172.27.73.52;Serial0.1;172.25.226.58;age;
ra038166.ula.brad_Loopback0;172.17.78.44;Serial0/0/0.1;172.25.198.82;otr;
ra38303.cens.brad_Loopback0;172.27.221.196;Serial1/1.169;172.25.19.250;otr;
ra39427bd.sat1.brad_Loopback0;172.27.146.252;Serial0/0/0.1;172.26.138.45;otr;
ra035928.srr.brad_Loopback0;172.17.51.204;Serial0/0/0.1;172.25.181.234;otr;
ra30587.cps.brad_Loopback0;172.27.37.116;Serial0/0/0.1;172.25.189.250;age;
ra30182.mga.brad_Loopback0;172.27.86.20;Serial1.1;172.25.221.226;age;
ra32045.bru.brad_Loopback0;172.27.43.100;Serial1.1;172.24.161.202;age;
ra32045.bru.brad_Loopback0;172.27.43.100;Serial0.1;172.24.161.202;age;
ra055667.fla.brad_Loopback0;172.17.128.100;Serial0/0/0.1;172.25.88.242;otr;
ra031262.igs.brad_Loopback0;172.27.38.148;Serial0/1.1;172.25.236.162;age;
ra33064.sdr.brad_Loopback0;172.27.82.4;Serial0.1;172.25.125.202;age;
ra30330.bnu.brad_Loopback0;172.27.50.180;Serial0/0.1;172.25.185.250;age;
ra035896.srr.brad_Loopback0;172.17.49.172;Serial0/1/0.1;172.25.177.154;otr;
ra31612.tte.brad_Loopback0;172.27.39.180;Serial1/0.1;172.25.144.214;age;
ra30763ag.blm.brad_Loopback0;172.27.73.244;Serial1.1;172.24.221.226;age;
ra30851ag.bsa.brad_Loopback0;172.27.74.196;Serial0.1;172.25.179.146;age;
ra30332.bnu.brad_Loopback0;172.27.86.148;Serial0.1;172.25.157.106;age;
ra37873.srr.brad_Loopback0;172.27.238.28;Serial0/0/0.1;172.25.134.58;otr;
ra30048.cta.brad_Loopback0;172.27.85.52;Serial0/0.1;172.25.157.90;age;
ra035109.srr.brad_Loopback0;172.27.2.252;Serial0/0/0.1;172.25.188.146;otr;
ra30224.cas.brad_Loopback0;172.27.34.68;Serial0/0.1;172.25.77.202;age;
ra31052.fla.brad_Loopback0;172.27.105.84;Serial0/2.1;172.25.155.218;age;
ra30349.bnu.brad_Loopback0;172.27.87.36;Serial0/0.1;172.24.32.42;age;
ra30509.bhe.brad_Loopback0;172.27.51.196;Serial0.1;172.25.234.186;age;
ra032113.bsa.brad_Loopback0;172.27.66.36;Serial0/0.1;172.26.250.93;age;
ra030437.mns.brad_Loopback0;172.27.111.124;Serial0/0/0.1;172.24.75.50;age;
ra056357.bnu.brad_Loopback0;172.17.94.140;Serial0/0/0.1;172.25.199.242;otr;
ra032339.bnu.brad_Loopback0;172.17.48.204;Serial0/0/0.1;172.24.242.202;age;
ra30959.blm.brad_Loopback0;172.27.75.84;Serial0/0/0.1;172.25.51.210;age;
ra22857.bsa.brad_Loopback0;172.27.50.116;Serial0.1;172.25.32.234;age;
ra030958.cens.brad_Loopback0;172.17.46.60;Serial0/0/0.1;172.26.235.1;age;
ra39323.srr.brad_Loopback0;172.27.252.28;Serial0/0/0.1;172.25.149.250;otr;
ra32512.mke.brad_Loopback0;172.27.220.236;Serial0/0/1.1;172.25.157.82;age;
ra37789.tte.brad_Loopback0;172.27.225.76;Serial0/0/0.1;172.25.150.130;otr;
ra30534.srr.brad_Loopback0;172.27.37.52;Serial0.1;172.25.141.146;age;
ra30257.bsa.brad_Loopback0;172.27.50.52;Serial0.1;172.24.29.66;age;
ra30507.jfa.brad_Loopback0;172.27.51.180;Serial0/0.1;172.24.130.82;age;
ra031625.pcs.brad_Loopback0;172.27.207.124;Serial0/0/0.1;172.24.126.130;age;
ra030371.rpo.brad_Loopback0;172.27.35.148;Serial0.1;172.25.242.226;age;
ra035823.srr.brad_Loopback0;172.17.44.108;Serial0/0/0.1;172.25.177.122;otr;
ra39955bd.sat1.brad_Loopback0;172.27.100.244;Serial0/0/0.1;172.25.194.146;otr;
ra030911.mcl.brad_Loopback0;172.27.55.180;Serial0.1;172.26.250.21;age;
ra30019.srr.brad_Loopback0;172.27.30.180;Serial1.1;172.25.243.10;age;
ra30157.bru.brad_Loopback0;172.27.32.164;Serial0.1;172.25.238.218;age;
ra30021.srr.brad_Loopback0;172.27.30.212;Serial0/0/0.1;172.24.126.242;age;
ra30370.cta.brad_Loopback0;172.27.88.20;Serial0/1.1;172.25.144.234;age;
ra31037.blm.brad_Loopback0;172.27.76.68;Serial0/0.1;172.25.127.218;age;
ra035925.rpo.brad_Loopback0;172.17.51.156;Serial0/0/0.1;172.25.181.210;otr;
ra39260bd.sat1.brad_Loopback0;172.27.252.140;Serial0/0/0.1;172.26.128.237;otr;
