hostname;ipl0;ipl237;;
ra00041ag.gna.brad;172.24.176.100;10.148.129.156;1343 AG SETOR CENTRAL;dlsw local-peer peer-id 172.24.176.98 keepalive 120;dlsw local-peer peer-id 10.149.0.124 keepalive 120
ra00974bd.jve.brad;172.24.244.244;10.245.76.81;BDN 11785 POSTO ENXAIMEL;dlsw local-peer peer-id 172.24.244.244 keepalive 120;dlsw local-peer peer-id 10.245.32.24 keepalive 120
ra00980bd.jai.brad;172.25.103.76;10.245.4.194;BDN 12336 NOSSA SENHORA DE FATIMA;dlsw local-peer peer-id 172.25.103.76;dlsw local-peer peer-id 10.217.147.56 keepalive 120
ra01160pb.pae.brad;172.24.254.228;10.217.147.40;PAB 01 EPCOS DO BRASIL LTDA - AG 0877;dlsw local-peer peer-id 172.24.254.228;dlsw local-peer peer-id 10.148.34.236 keepalive 120
ra011923.cdl.brad;172.26.104.228;10.245.248.133;BDN 7321 JORNAL DO COMERCIO;dlsw local-peer peer-id 172.26.104.228;dlsw local-peer peer-id 10.149.40.8 keepalive 120
ra01285ag.cdl.brad;172.24.140.20;10.148.40.200;1975 AGP S CRISTOVAO;dlsw local-peer peer-id 172.24.140.20 keepalive 120;dlsw local-peer peer-id 10.149.3.128 keepalive 120
ra014012.cdl.brad;172.24.116.132;10.245.248.193;1430_9873 BDN MARKET CENTER;dlsw local-peer peer-id 172.24.116.132;dlsw local-peer peer-id 10.217.128.48 keepalive 120
ra019437.mke.brad;172.24.165.12;10.245.250.245;BDN 21689 SUPERM. SENDAS LJ 1840;dlsw local-peer peer-id 172.24.165.12;dlsw local-peer peer-id 10.245.8.38 keepalive 120
ra035010bd.sat1.brad;172.17.63.108;10.245.19.229; BDN 28068 PAA SAO GERALDO DO BAIXIO;dlsw local-peer peer-id 172.17.63.108;dlsw local-peer peer-id 10.245.19.228 keepalive 120
ra035022bd.sat1.brad;172.17.64.44;10.245.19.219; BDN 28055 PAA PRESIDENTE KUBITSCHEK;dlsw local-peer peer-id 172.17.64.33;dlsw local-peer peer-id 10.245.19.217 keepalive 120
ra035094bd.sat1.brad;172.27.162.172;10.245.3.239;BDN 27801 PRAIA DO CURRAL;dlsw local-peer peer-id 172.27.162.172;dlsw local-peer peer-id 10.245.20.55 keepalive 120
ra038121bd.sat1.brad;172.17.6.140;10.245.25.187; BDN 28345 PAA MATO RICO;dlsw local-peer peer-id 172.17.6.140;dlsw local-peer peer-id 10.245.30.0 keepalive 120
ra039227bd.sat1.brad;172.17.66.28;10.245.40.166;BDN 27715 SUPERMERCADO BAITACA;dlsw local-peer peer-id 172.17.66.28;dlsw local-peer peer-id 10.245.15.43 keepalive 120
ra039912.sat.brad;172.17.71.92;10.245.17.68;BDN 22006 PAB MINERACAO CURIMBABA;dlsw local-peer peer-id 172.17.71.92;dlsw local-peer peer-id 10.245.22.4 keepalive 120
ra04115bd.csc.brad;172.25.152.132;10.245.24.121;BDN 20016 SHOPPING PANAMBI;dlsw local-peer peer-id 172.25.152.132;dlsw local-peer peer-id 10.245.48.65 keepalive 120
ra04318.cdl.brad;172.25.105.228;10.149.0.184;0436 AG VISCONDE DE INHAUMA;dlsw local-peer peer-id 172.25.105.228 keepalive 120;dlsw local-peer peer-id 10.149.0.156 keepalive 120
ra04348.mke.brad;172.25.144.76;10.149.1.112;1804 AG FREGUESIA;dlsw local-peer peer-id 172.25.144.76 keepalive 120;dlsw local-peer peer-id 10.149.1.108 keepalive 120
ra04476ag.cta.brad;172.25.233.124;10.148.49.216;AGC 3000 SHOPPING TOTAL;dlsw local-peer peer-id 172.25.233.124 keepalive 120;dlsw local-peer peer-id 10.148.50.252 keepalive 120
ra051125.tte.brad;172.24.158.36;10.149.42.244;0834 AG BALNEARIO INDAIA;dlsw local-peer peer-id 172.24.158.36;dlsw local-peer peer-id 10.245.19.32 keepalive 120
ra051126.pae.brad;172.24.240.68;10.148.59.12;1178 AG BOQUEIRAO - CANOAS;dlsw local-peer peer-id 172.24.240.68;dlsw local-peer peer-id 10.149.42.244 keepalive 120
ra051460.nct.brad;172.24.46.100;10.149.43.44;1201 AG AV DOM PEDRO II;dlsw local-peer peer-id 172.24.46.100;dlsw local-peer peer-id 10.245.10.252 keepalive 120
ra051757.cens.brad;172.24.111.156;10.245.249.21;BDN 11318 HS COUTINHO IND COM LTDA;dlsw local-peer peer-id 172.24.111.156;dlsw local-peer peer-id 10.245.68.167 keepalive 120
ra052009.nct.brad;;10.245.11.57;;dlsw local-peer peer-id 172.26.52.104;dlsw local-peer peer-id 10.245.11.57 keepalive 120
