hostname;ipl0;ipl237;;
ra39310bd.sat1.brad;172.27.251.252;10.245.69.247;BDN 22578 BDN PAA PREFEITURA IGRAPIUNA;dlsw local-peer peer-id 172.27.251.252;dlsw local-peer peer-id 10.148.32.248 keepalive 120
ra061713.mns.brad;172.26.234.114;10.148.96.64;AG 1374 AMAZONAS SHOPPING URB MANAUS;dlsw local-peer peer-id 172.26.234.114;dlsw local-peer peer-id 10.217.147.132 keepalive 120
ra008862.vta.brad;172.24.9.28;10.245.32.8;BDN 8072 - ATM AUTO P.CASTELINH;dlsw local-peer peer-id 172.24.9.28;dlsw local-peer peer-id 10.245.24.209 keepalive 120
ra19817bd.sne.brad;172.24.130.124;10.245.6.142;BDN 10959 MAUA PLAZA SHOPPING;dlsw local-peer peer-id 172.24.130.124;dlsw local-peer peer-id 10.245.248.124 keepalive 120
ra04564ag.rsd.brad;172.25.143.20;10.149.2.128;AG 2806 BAIRRO RETIRO;dlsw local-peer peer-id 172.25.143.20 keepalive 120;dlsw local-peer peer-id 10.245.19.166 keepalive 120
ra19817bd.sne.brad;172.24.130.124;10.245.6.142;BDN 10959 MAUA PLAZA SHOPPING;dlsw local-peer peer-id 172.24.130.124;dlsw local-peer peer-id 10.148.120.64 keepalive 120
ra05173bd.cta.brad;172.25.230.172;10.245.76.123;BDN 12573 MOVEIS WEIHERMANN;dlsw local-peer peer-id 172.25.230.172;dlsw local-peer peer-id 10.148.17.252 keepalive 120
ra019675.fla.brad;172.24.205.124;10.245.244.58;BDN 8087 PAE BOMPRECO FARIAS BRITO;dlsw local-peer peer-id 172.24.205.124;dlsw local-peer peer-id 10.245.64.154 keepalive 120
ra035094bd.sat1.brad;172.27.162.172;10.245.3.239;BDN 27801 PRAIA DO CURRAL;dlsw local-peer peer-id 172.27.162.172;dlsw local-peer peer-id 10.245.49.10 keepalive 120
ra050097.poc.brad;172.24.140.228;10.149.41.244;AG.PONTE GRANDE - URB GUARULHOS;dlsw local-peer peer-id 172.24.140.228;dlsw local-peer peer-id 10.245.28.211 keepalive 120
ra054020.srr.brad;172.24.7.196;10.245.14.245;27907 BDN AUTO POSTO BERRANTAO;dlsw local-peer peer-id 172.24.7.196;dlsw local-peer peer-id 10.245.81.19 keepalive 120
ra01148.sts.brad;172.25.85.172;10.245.5.31;20004 BDN SUPERMERCADO CACULA LTDA;dlsw local-peer peer-id 172.25.85.172;dlsw local-peer peer-id 10.245.30.7 keepalive 120
ra053301.cdl.brad;172.24.187.132;10.217.160.216;PAB  PAB 0541-02 U T C ENGENHARIA S A - AG;dlsw local-peer peer-id 172.24.187.132 keepalive 120;dlsw local-peer peer-id 10.148.50.156 keepalive 120
ra051756.cens.brad;172.24.111.148;10.245.249.20;BDN 11317 POSTO SANTA CLARA DA PAVUNA;dlsw local-peer peer-id 172.24.111.148;dlsw local-peer peer-id 10.149.1.88 keepalive 120
ra050882.vta.brad;172.25.219.196;10.245.32.84;BDN 26364 SUPERMERCADO BABBIO;dlsw local-peer peer-id 172.25.219.196;dlsw local-peer peer-id 10.148.41.100 keepalive 120
ra053571.cas.brad;172.24.86.92;10.245.152.21;28030 BDN MERCADO DE FLORES-CEASA CAMPINAS;dlsw local-peer peer-id 172.24.86.92;dlsw local-peer peer-id 10.245.100.28 keepalive 120
ra055874.sdr.brad;172.25.137.164;10.245.71.50;26188_26189 BDN BOM PREGO IAPI;dlsw local-peer peer-id 172.25.137.164;dlsw local-peer peer-id 10.245.249.162 keepalive 120
ra032084ag.sat1.brad;172.27.0.108;10.148.248.8; AG 2084 AG ATAIDE TEIVE;dlsw local-peer peer-id 172.27.0.97 keepalive 120;dlsw local-peer peer-id 10.148.18.40 keepalive 120
ra17867bd.cta.brad;172.24.229.196;10.245.24.173;BDN 13736 MAGISTRAL IMPRESSORA IND LTDA;dlsw local-peer peer-id 172.24.229.196;dlsw local-peer peer-id 10.245.14.213 keepalive 120
ra026336.foz.brad;172.25.141.124;10.245.29.96;BDN 14304 CAMIL ALIMENTOS - INTERFACE;dlsw local-peer peer-id 172.25.141.124;dlsw local-peer peer-id 10.245.0.151 keepalive 120
ra061224.enc.brad;172.26.234.62;10.149.49.116;AG 6566 SAO FRANCISCO  URB. NITEROI;dlsw local-peer peer-id 172.17.142.33;dlsw local-peer peer-id 10.148.0.228 keepalive 120
ra053576.mbi.brad;172.24.112.20;10.148.27.196;AG 1833 AGP CONJUNTO NACIONAL USP;dlsw local-peer peer-id 172.24.112.20;dlsw local-peer peer-id 10.245.250.219 keepalive 120
ra16320bd.fns.brad;172.24.231.20;10.245.76.225;;dlsw local-peer peer-id 172.24.231.20;dlsw local-peer peer-id 10.148.129.64 keepalive 120
ra050246.sdr.brad;172.25.243.140;10.217.163.64;PAB 3688-04 PAULO AFONSO PREFEITURA;dlsw local-peer peer-id 172.25.243.140;dlsw local-peer peer-id 10.245.20.129 keepalive 120
ra020145.sjc.brad;172.24.100.220;10.245.8.109;BDN 13959 GM DO BRASIL MVA;dlsw local-peer peer-id 172.24.100.220;dlsw local-peer peer-id 10.148.129.140 keepalive 120
