hostname;ipl0;ipl237;;
ra12923bd.fns.brad;172.24.245.108;10.245.76.99;BDN 0850 SHOPPING BEIRA MAR - INTERFACE;dlsw local-peer peer-id 172.24.245.108;dlsw local-peer peer-id 10.148.27.36 keepalive 120
ra39310bd.sat1.brad;172.27.251.252;10.245.69.247;BDN 22578 BDN PAA PREFEITURA IGRAPIUNA;dlsw local-peer peer-id 172.27.251.252;dlsw local-peer peer-id 10.148.32.248 keepalive 120
ra20138bd.blm.brad;172.24.198.220;10.244.254.84;BDN 12230 CONS.DE ALUMINIO DO MARANHCO;dlsw local-peer peer-id 172.24.198.220;dlsw local-peer peer-id 10.245.21.59 keepalive 120
ra20127bd.blm.brad;172.24.201.212;10.245.84.16;BDN 22199 POSTO MONTANA;dlsw local-peer peer-id 172.24.201.212;dlsw local-peer peer-id 10.148.33.16 keepalive 120
ra01148.sts.brad;172.25.85.172;10.245.5.31;20004 BDN SUPERMERCADO CACULA LTDA;dlsw local-peer peer-id 172.25.85.172;dlsw local-peer peer-id 10.245.1.25 keepalive 120
ra19819bd.sne.brad;172.24.130.132;10.245.6.142;BDN 10957 MAUA PLAZA SHOPPING;dlsw local-peer peer-id 172.24.130.132;dlsw local-peer peer-id 10.245.21.66 keepalive 120
ra04564ag.rsd.brad;172.25.143.20;10.149.2.128;AG 2806 BAIRRO RETIRO;dlsw local-peer peer-id 172.25.143.20 keepalive 120;dlsw local-peer peer-id 10.245.16.205 keepalive 120
ra09477pb.cens.brad;172.24.106.140;10.217.131.192;PAB 03 HOSP. ADV. A.U.E.B.A. 7 DIA - AG 3019;dlsw local-peer peer-id 172.24.106.140;dlsw local-peer peer-id 10.245.152.193 keepalive 120
ra019675.fla.brad;172.24.205.124;10.245.244.58;BDN 8087 PAE BOMPRECO FARIAS BRITO;dlsw local-peer peer-id 172.24.205.124;dlsw local-peer peer-id 10.245.156.117 keepalive 120
ra39318bd.sat1.brad;172.27.155.76;10.245.69.108;BDN 13497 BOM PRECO SUPERMERCADO DO NORDESTE;dlsw local-peer peer-id 172.27.155.65;dlsw local-peer peer-id 10.245.25.167 keepalive 120
ra038121bd.sat1.brad;172.17.6.140;10.245.25.187; BDN 28345 PAA MATO RICO;dlsw local-peer peer-id 172.17.6.140;dlsw local-peer peer-id 10.245.6.240 keepalive 120
ra052989.mns.brad;172.24.191.12;10.217.164.92;PAB  PAB 1999-11 SUMIDENSO DA AMAZONIA INDUSTRIAS ELETRICAS LTDA - AG;dlsw local-peer peer-id 172.24.191.10;dlsw local-peer peer-id 10.245.84.172 keepalive 120
ra19817bd.sne.brad;172.24.130.124;10.245.6.142;BDN 10959 MAUA PLAZA SHOPPING;dlsw local-peer peer-id 172.24.130.124;dlsw local-peer peer-id 10.149.26.116 keepalive 120
ra054020.srr.brad;172.24.7.196;10.245.14.245;27907 BDN AUTO POSTO BERRANTAO;dlsw local-peer peer-id 172.24.7.196;dlsw local-peer peer-id 10.245.18.102 keepalive 120
ra050097.poc.brad;172.24.140.228;10.149.41.244;AG.PONTE GRANDE - URB GUARULHOS;dlsw local-peer peer-id 172.24.140.228;dlsw local-peer peer-id 10.148.18.72 keepalive 120
ra053185.jve.brad;172.24.225.44;10.245.77.102;BDN 14829 SCHULZ S A;dlsw local-peer peer-id 172.24.225.44;dlsw local-peer peer-id 10.148.1.120 keepalive 120
ra053301.cdl.brad;172.24.187.132;10.217.160.216;PAB  PAB 0541-02 U T C ENGENHARIA S A - AG;dlsw local-peer peer-id 172.24.187.132 keepalive 120;dlsw local-peer peer-id 10.148.136.184 keepalive 120
ra38899.cba.brad;172.26.252.50;10.245.40.77;21955 BDN POSTO STA ELISA;dlsw local-peer peer-id 172.26.252.50;dlsw local-peer peer-id 10.217.160.216 keepalive 120
ra051125.tte.brad;172.24.158.36;10.149.42.244;0834 AG BALNEARIO INDAIA;dlsw local-peer peer-id 172.24.158.36;dlsw local-peer peer-id 10.245.70.110 keepalive 120
ra04476ag.cta.brad;172.25.233.124;10.148.49.216;AGC 3000 SHOPPING TOTAL;dlsw local-peer peer-id 172.25.233.124 keepalive 120;dlsw local-peer peer-id 10.245.7.86 keepalive 120
ra061139.sat1.brad;172.26.132.22;10.245.44.61;BDN 29443 SUP JARDIM;dlsw local-peer peer-id 172.17.146.229;dlsw local-peer peer-id 10.148.50.180 keepalive 120
ra053571.cas.brad;172.24.86.92;10.245.152.21;28030 BDN MERCADO DE FLORES-CEASA CAMPINAS;dlsw local-peer peer-id 172.24.86.92;dlsw local-peer peer-id 10.245.80.203 keepalive 120
ra055874.sdr.brad;172.25.137.164;10.245.71.50;26188_26189 BDN BOM PREGO IAPI;dlsw local-peer peer-id 172.25.137.164;dlsw local-peer peer-id 10.148.192.16 keepalive 120
ra19674bd.igs.brad;172.24.71.132;10.245.6.156;BDN 10710 OSASCO PLAZA SHOPPING;dlsw local-peer peer-id 172.24.71.132;dlsw local-peer peer-id 10.217.132.252 keepalive 120
ra014012.cdl.brad;172.24.116.132;10.245.248.193;1430_9873 BDN MARKET CENTER;dlsw local-peer peer-id 172.24.116.132;dlsw local-peer peer-id 10.245.21.120 keepalive 120
ra19917.poc.brad;172.24.141.244;10.245.6.59;BDN 8038 EDITORA TRES L;dlsw local-peer peer-id 172.24.141.244;dlsw local-peer peer-id 10.245.15.79 keepalive 120
ra026336.foz.brad;172.25.141.124;10.245.29.96;BDN 14304 CAMIL ALIMENTOS - INTERFACE;dlsw local-peer peer-id 172.25.141.124;dlsw local-peer peer-id 10.245.21.74 keepalive 120
ra061224.enc.brad;172.26.234.62;10.149.49.116;AG 6566 SAO FRANCISCO  URB. NITEROI;dlsw local-peer peer-id 172.17.142.33;dlsw local-peer peer-id 10.245.249.169 keepalive 120
ra060451.bsa.brad;172.26.237.218;10.149.50.140;AG CAPIM DOURADO SHOPPING URB PALMAS TO;dlsw local-peer peer-id 172.17.141.221;dlsw local-peer peer-id 10.245.65.8 keepalive 120
ra050246.sdr.brad;172.25.243.140;10.217.163.64;PAB 3688-04 PAULO AFONSO PREFEITURA;dlsw local-peer peer-id 172.25.243.140;dlsw local-peer peer-id 10.245.96.20 keepalive 120
